text,label
I see DRAM pushing to $100 and MU hitting $1500 by Q4.,speculation
"MU will drop after earnings. Have cash on hand to buy the dip, but wait until the next day. Geopolitical turmoil might also cause it to fall farther. It is the top of its game. It is no longer cyclical. It is the best in its sector and good for another 3 years.",speculation
"It will go up after earnings. As soon as the earnings news comes out, it might drop a few % because people will sell, but it will go up soon after, just like Sandisk in the last earnings call.",speculation
"The Iran war is supposedly over, Iran accepted it and the U.S. accepted it too, but why are the markets still weak? Why is Bitcoin still falling?",question
MU or SNDK which one looks better going forward?,question
How do fractional shares work,question
Micron has profits of $13 Billion so far this year with a market cap of 1.2 trillion while NVIDIA has a profit of 58.3 Billion with a market cap of $5T. Scandisk market cap is $323 Billion with $803 Million. Scandisk seems to have more room for actual growth.,analysis
"Earning beat and stock move lower is my prediction. It beat 12/12 previous EE, fell 8/12 post earnings. Earning is also slowing - this estimate to next is only about 20% growth (vs 10X a year ago) and will most likely slow more as capex expansion slows, they reach capacity, and demand destruction if raising price further. I bought last time post earnings sub 400. It has tripled since in 3 months with only slight earning estimate adjustment up. I'm out, and if you think it will rally, good luck.",analysis
"I'm going to lose $700,000 to a $345 million Polymarket scam.",reaction
"Market resolutions are decided by people who have UMA (a crypto coin) staked. There's $13 million worth of UMA staked currently, so a $13 million market controls the outcome of a $330 million market. This is a textbook setup for market manipulation.",analysis
Oils finishing up a head and shoulders pattern and will be at $60 by the new year,speculation
Do Institutional traders have an edge over retail traders ?,question
"Guys, don't panic sell. The bull arrives in Q1 2027",speculation
"My question is why did the 2025 cycle not provide as much growth for alts as it did in 2021? Genuinely interested. I know one factor was that everyone was still on lockdown in 2021 so there was more income to be invested, but are there any other reasons?",question
"I would argue that 2026 will shape up to be what many expected 2025 to be and that this cycle is different. There isnt going to be a one year bear market like many assume. At worst we drop below the true market mean and we float around 75k. Granted with inflation and debasement i would argue the TMM at 80-82k is the prior ATH of btc in 2021 at 69k. Our prior ath in 2021 at current prices puts our most recent ATH slightly below 100,000 in dollar value.",analysis
"Is it possible that we're starting another bear cycle right on cue, once again?",question
"Like a ripple in a pond, or an echo, with each new wave weakening. 2025 peak went 8x, 2021 peak went 16x, 2017 peak went 90x, 2013 peak went 452x. Each new bear market starting in Q4, then having one last big rally and bull trap, before the plunge.",analysis
"126k was the top right on cue. Now its a downwards cycle for 1 year, then sideways for a year after that. Earliest time to buy back in is end of 2026.",speculation
Does anyone think this *isn't* the worst cycle in cryptocurrency history?,question
Today I made $1m gains by selling my entire Nvidia portfolio,reaction
Are NVIDIA employees likely to be millionaires now if they joined five or more years ago?,question
"The real issue is capital rotation and opportunity cost. Crypto (Bitcoin especially) rips when there's no frothy, easy-money game elsewhere. Right now AI and all the AI-adjacent stuff is printing insane multiples of 100-300%+ returns in a couple years on real growth. Why chase a 2-3x in BTC when you can chase a 10x in the next AI play? So traditional markets suck up all the money and crypto just stagnates. But those AI gains have limits. Explosive growth can't keep compounding forever. Once it normalizes, energy issues, regulation, or just the market pricing in the upside, the rotation will flip fast.",analysis
58M - I have been through several bubbles. The S&P takes a dump but it always goes back considerably higher than its previous high.,speculation
When and how to determine when to take gains?,question
